41.6772	0.046	-0.352	0.238	0.3123
41.7122	-0.021	-0.358	0.227	0.3576
41.7315	0.272	-0.247	0.16	0.3895
41.7441	0.429	-0.168	0.129	0.4153
41.7441	0.298	0.008	0.06	0.4273
41.7503	0.124	0.008	0.064	0.4402
41.7558	0.013	-0.199	0.068	0.4538
41.7536	0.05	-0.256	0.025	0.4588
41.7516	0.017	-0.386	-0.003	0.4581
41.7463	-0.002	-0.451	-0.005	0.4571
41.7287	-0.061	-0.302	-0.058	0.4455
41.7108	-0.101	0.005	-0.082	0.4291
41.7185	0	0.096	0.025	0.4342
41.7498	0.002	0.113	0.133	0.4607
41.8001	-0.193	0.223	0.221	0.5048
41.8318	-0.367	0.088	0.152	0.5352
41.8159	-0.355	-0.082	-0.05	0.5252
41.8019	0.118	-0.086	-0.092	0.5068
41.7507	0.043	-0.136	-0.235	0.4597
41.6481	0.3	0.013	-0.429	0.3739
41.5772	0.137	0.193	-0.39	0.2958
41.5515	-0.047	0.249	-0.194	0.257
41.5314	-0.078	0.255	-0.116	0.2338
41.5062	0.026	0.35	-0.134	0.207
41.4612	0.099	0.257	-0.236	0.1597
41.3892	0.11	0.269	-0.338	0.0921
41.2906	0.058	0.203	-0.466	-0.0011
41.1705	0.112	0.155	-0.531	-0.1073
41.0468	0.062	0.116	-0.571	-0.2215
40.9341	0.147	0.254	-0.556	-0.3328
40.8282	0.178	0.268	-0.525	-0.4378
40.7441	-0.192	0.205	-0.437	-0.5252
40.6869	-0.205	0.341	-0.32	-0.5892
40.6403	-0.195	0.355	-0.249	-0.6389
40.6511	-0.158	0.132	-0.038	-0.6466
40.6709	-0.089	0.019	0.046	-0.6374
40.7093	-0.128	-0.081	0.121	-0.6131
40.7277	0.009	-0.243	0.07	-0.5991
40.7525	-0.261	-0.243	0.086	-0.5818
40.7613	-0.341	-0.143	0.073	-0.5673
40.7697	-0.001	0.017	0.047	-0.5578
40.7797	0.031	0.123	0.039	-0.5501
40.7951	0.039	0.074	0.071	-0.536
40.8147	0.186	0.056	0.082	-0.5196
40.8508	0.157	-0.129	0.146	-0.4904
40.9105	0.101	-0.339	0.273	-0.4358
41.0098	0.103	-0.37	0.428	-0.3503
41.1168	-0.05	-0.301	0.5	-0.2504
41.2191	-0.105	-0.268	0.51	-0.1484
41.3391	-0.135	-0.17	0.568	-0.0348
41.448	-0.26	0.116	0.559	0.0769
41.5366	-0.121	0.167	0.482	0.1733
41.6233	0.271	0.123	0.427	0.2587
41.7036	0.331	0.007	0.361	0.3309
41.7852	0.597	-0.122	0.363	0.4034
41.8256	0.329	-0.314	0.205	0.4444
41.8871	0.048	-0.473	0.244	0.4932
41.9391	-0.314	-0.375	0.244	0.5421
41.9888	-0.306	-0.313	0.265	0.5951
42.0098	-0.481	-0.066	0.151	0.6253
42.0344	-0.029	0.12	0.134	0.652
42.0168	0.236	0.23	-0.018	0.6484
41.9627	0.223	0.159	-0.171	0.6143
41.8913	0.286	0.104	-0.28	0.5583
41.8091	0.26	0.118	-0.377	0.4828
41.6932	0.104	0.004	-0.486	0.3856
41.5961	0.062	0.039	-0.434	0.2988
41.511	-0.098	0.016	-0.395	0.2198
41.4373	-0.257	0.199	-0.336	0.1527
41.3787	-0.165	0.391	-0.273	0.0981
41.3484	0.079	0.318	-0.175	0.0631
41.3078	0.143	0.319	-0.196	0.0239
41.2662	0.199	0.218	-0.208	-0.0177
41.2256	-0.055	0.142	-0.206	-0.0589
41.2104	0.027	-0.005	-0.111	-0.0812
41.1993	-0.086	-0.084	-0.071	-0.0954
41.2013	-0.123	-0.056	-0.016	-0.0986
41.2084	0.009	-0.033	0.032	-0.0923
41.2095	0.026	0.015	0.029	-0.0864
41.2144	-0.199	0.131	0.033	-0.0798
41.2191	-0.161	0.111	0.021	-0.0756
41.1976	-0.204	0.069	-0.087	-0.093
41.1707	-0.233	-0.074	-0.127	-0.1185
41.1423	-0.058	-0.299	-0.156	-0.1497
41.1146	0.222	-0.258	-0.152	-0.1801
41.08	-0.059	-0.261	-0.151	-0.2103
41.0452	-0.098	-0.219	-0.135	-0.2373
41.0222	-0.155	-0.214	-0.08	-0.2533
41.0023	-0.161	-0.094	-0.061	-0.2656
40.9798	-0.161	0.011	-0.05	-0.2755
40.9916	-0.106	0.142	0.038	-0.2679
41.0207	0.051	0.038	0.11	-0.2459
41.0472	0.155	-0.106	0.102	-0.2256
41.0822	0.137	-0.174	0.126	-0.2005
41.1082	0.202	-0.267	0.105	-0.1795
41.1273	0.065	-0.362	0.051	-0.1693
41.14	0.076	-0.392	0.023	-0.1647
